ID ,Reference_number,Month_start,Year_start,Month_finish,Year_finish,Total_of_months,Sampling_habitat,Sampling_design,Effort,Method ,Trap_size,Strata_sampling,Order,Genus, Species_name_on_paper, Actual_species_name,Species_origin,Individuals_captured,Abundance_(ind/trap-nights),Voucher_Specimens
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Juliomys,Juliomys pictipes,Juliomys pictipes,Native,4,0.116959064,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,5,0.14619883,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Necromys,Necromys lasiurus,Necromys lasiurus,Native,6,0.175438596,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Thaptomys,Thaptomys nigrita,Thaptomys nigrita,Native,16,0.467836257,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Trinomys,Trinomys iheringi,Trinomys iheringi,Native,37,1.081871345,Yes
sm05,3,March,1998,February,1999,12,Interior and Edge,Linear transect,16821,Live traps,S/L,Ground understory and canopy,Didelphimorphia,Caluromys,Caluromys philander,Caluromys philander,Native,11,0.065394447,NA
sm05,3,March,1998,February,1999,12,Interior and Edge,Linear transect,16821,Live traps,S/L,Ground understory and canopy,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,26,0.154568694,NA
sm05,3,March,1998,February,1999,12,Interior and Edge,Linear transect,16821,Live traps,S/L,Ground understory and canopy,Didelphimorphia,Gracilinanus,Gracilinanus microtarsus,Gracilinanus microtarsus,Native,46,0.273467689,NA
sm05,3,March,1998,February,1999,12,Interior and Edge,Linear transect,16821,Live traps,S/L,Ground understory and canopy,Didelphimorphia,Marmosa,Marmosa murina,Marmosa murina,Native,1,0.00594495,NA
sm05,3,March,1998,February,1999,12,Interior and Edge,Linear transect,16821,Live traps,S/L,Ground understory and canopy,Didelphimorphia,Marmosops,Marmosops incanus,Marmosops incanus,Native,39,0.231853041,NA
sm05,3,March,1998,February,1999,12,Interior and Edge,Linear transect,16821,Live traps,S/L,Ground understory and canopy,Didelphimorphia,Metachirus,Metachirus nudicaudatus,Metachirus nudicaudatus,Native,2,0.0118899,NA
sm05,3,March,1998,February,1999,12,Interior and Edge,Linear transect,16821,Live traps,S/L,Ground understory and canopy,Didelphimorphia,Marmosa,Micoureus demerarae,Marmosa paraguayana,Native,4,0.023779799,NA
sm05,3,March,1998,February,1999,12,Interior and Edge,Linear transect,16821,Live traps,S/L,Ground understory and canopy,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,15,0.089174246,NA
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,3,0.090909091,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Didelphimorphia,Marmosops,Marmosops incanus,Marmosops incanus,Native,9,0.272727273,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Didelphimorphia,Marmosa,Micoureus demerarae,Marmosa paraguayana,Native,3,0.090909091,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Didelphimorphia,Monodelphis,Monodelphis domestica,Monodelphis domestica,Native,1,0.03030303,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,1,0.03030303,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Akodon,Akodon cursor,Akodon cursor,Native,5,0.151515152,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Thaptomys,Thaptomys nigrita,Thaptomys nigrita,Native,15,0.454545455,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Nectomys,Nectomys squamipes,Nectomys squamipes,Native,6,0.181818182,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,27,0.818181818,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Euryoryzomys,Euryoryzomys russatus,Euryoryzomys russatus,Native,16,0.484848485,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Cerradomys,Cerradomys subflavus,Cerradomys sp.,Native,2,0.060606061,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Kannabateomys,Kannabateomys amblyonyx,Kannabateomys amblyonyx,Native,3,0.090909091,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Phyllomys,Phyllomys pattoni,Phyllomys pattoni,Native,1,0.03030303,Yes
sm05,18,April,2000,January,2001,5,Interior,Linear transect,3300,Live traps,NA,Ground and understory,Rodentia,Trinomys,Trinomys iheringi,Trinomys sp.,Native,5,0.151515152,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Didelphimorphia,Marmosops,Marmosops incanus,Marmosops incanus,Native,48,0.218360477,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Didelphimorphia,Marmosa,Micoureus demerarae,Marmosa paraguayana,Native,7,0.031844236,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Didelphimorphia,Marmosa,Marmosa murina,Marmosa murina,Native,1,0.004549177,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Didelphimorphia,Gracilinanus,Gracilinanus microtarsus,Gracilinanus microtarsus,Native,46,0.209262124,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Didelphimorphia,Metachirus,Metachirus nudicaudatus,Metachirus nudicaudatus,Native,2,0.009098353,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,29,0.131926121,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,16,0.072786826,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Didelphimorphia,Caluromys,Caluromys philander,Caluromys philander,Native,11,0.050040943,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Akodon,Akodon cursor,Akodon cursor,Native,5,0.022745883,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Euryoryzomys,Oryzomys intermedius,Euryoryzomys russatus,Native,16,0.072786826,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,27,0.122827768,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Oecomys,Oryzomys trinitatis,Oecomys catherinae,Native,1,0.004549177,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Nectomys,Nectomys squamipes,Nectomys squamipes,Native,6,0.02729506,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Delomys,Delomys dorsalis,Delomys dorsalis,Native,1,0.004549177,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Rhipidomys,Rhipidomys mastacalis,Rhipidomys mastacalis,Native,1,0.004549177,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Oxymycterus,Oxymycterus hispidus,Oxymycterus dasytrichus,Native,1,0.004549177,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Cavia,Cavia fulgida,Cavia fulgida,Native,1,0.004549177,Yes
sm05,103,March,1989,February,1990,NA,Interior and Edge,Linear transect,21982,Live traps,NA,Ground understory and canopy,Rodentia,Trinomys,Trinomys iheringi,Trinomys sp.,Native,4,0.018196706,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Trinomys,Trinomys iheringi,Trinomys iheringi,Native,20,0.115200737,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Akodon,Akodon serrensis,Akodon serrensis,Native,25,0.144000922,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Euryoryzomys,Euryoryzomys russatus,Euryoryzomys russatus,Native,129,0.743044755,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,7,0.040320258,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Oecomys,Oecomys aff. concolor,Oecomys catherinae,Native,13,0.074880479,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Nectomys,Nectomys squamipes,Nectomys squamipes,Native,42,0.241921548,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Juliomys,Juliomys pictipes,Juliomys pictipes,Native,7,0.040320258,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,14,0.080640516,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,2,0.011520074,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Didelphimorphia,Metachirus,Metachirus nudicaudatus,Metachirus nudicaudatus,Native,31,0.178561143,Yes
sm06,4,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Didelphimorphia,Marmosa,Micoureus demerarae,Marmosa paraguayana,Native,9,0.051840332,Yes
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,14,0.080640516,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,2,0.011520074,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Didelphimorphia,Metachirus,Metachirus nudicaudatus,Metachirus nudicaudatus,Native,3,0.017280111,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Didelphimorphia,Marmosa,Micoureus demerarae,Marmosa paraguayana,Native,9,0.051840332,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Euryoryzomys,Oryzomys intermedius,Euryoryzomys russatus,Native,127,0.731524682,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,7,0.040320258,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Oecomys,Oecomys sp.,Oecomys catherinae,Native,13,0.074880479,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Nectomys,Nectomys squamipes,Nectomys squamipes,Native,42,0.241921548,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Juliomys,Juliomys pictipes,Juliomys pictipes,Native,7,0.040320258,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Akodon,Akodon serrensis,Akodon serrensis,Native,22,0.126720811,No
sm06,29,September,1995,August,1997,23,Interior,Grid,17361,Live traps,L,Ground understory and canopy,Rodentia,Trinomys,Trinomys iheringi,Trinomys iheringi,Native,20,0.115200737,No
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Phyllomys,Phyllomys nigrispinus,Phyllomys nigrispinus,Native,1,0.023894863,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Akodon,Akodon montensis,Akodon montensis,Native,9,0.215053763,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Akodon,Akodon serrensis,Akodon serrensis,Native,8,0.191158901,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Thaptomys,Thaptomys nigrita,Thaptomys nigrita,Native,13,0.310633214,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Brucepattersonius,Brucepattersonius aff. iheringi,Brucepattersonius soricinus,Native,2,0.047789725,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Oxymycterus,Oxymycterus dasytrichus,Oxymycterus dasytrichus,Native,7,0.167264038,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Euryoryzomys,Euryoryzomys russatus,Euryoryzomys russatus,Native,35,0.836320191,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,2,0.047789725,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Oecomys,Oecomys sp.,Oecomys catherinae,Native,5,0.119474313,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Rhipidomys,Rhipidomys aff. macrurus,Rhipidomys itoan,Native,1,0.023894863,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Juliomys,Juliomys pictipes,Juliomys pictipes,Native,7,0.167264038,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Rodentia,Delomys,Delomys dorsalis,Delomys dorsalis,Native,8,0.191158901,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,4,0.09557945,Yes
sm07,4,August,1996,June,1997,6,Interior,Grid,4185,Live traps,L,Ground understory and canopy,Didelphimorphia,Marmosops,Marmosops paulensis,Marmosops paulensis,Native,9,0.215053763,Yes
